iter	Passed	Remaining
0	145	145703
1	148	73880
2	149	49807
3	152	37882
4	153	30630
5	155	25793
6	158	22490
7	160	19918
8	162	17882
9	164	16289
10	166	14969
11	168	13852
12	169	12904
13	172	12152
14	174	11446
15	176	10829
16	178	10333
17	180	9853
18	182	9441
19	185	9069
20	186	8713
21	188	8385
22	190	8111
23	192	7833
24	194	7577
25	196	7360
26	198	7146
27	200	6946
28	201	6748
29	203	6575
30	205	6411
31	207	6263
32	209	6129
33	210	5991
34	212	5855
35	214	5734
36	216	5640
37	218	5527
38	219	5419
39	221	5318
40	223	5232
41	225	5139
42	226	5047
43	228	4973
44	230	4901
45	232	4824
46	234	4761
47	236	4696
48	238	4628
49	240	4565
50	243	4521
51	244	4462
52	246	4403
53	248	4352
54	250	4297
55	251	4241
56	253	4189
57	255	4150
58	257	4106
59	258	4057
60	261	4020
61	262	3975
62	264	3930
63	265	3888
64	268	3855
65	269	3811
66	270	3769
67	271	3720
68	273	3696
69	275	3666
70	277	3629
71	278	3594
72	280	3561
73	281	3523
74	282	3484
75	283	3446
76	284	3409
77	285	3373
78	288	3358
79	288	3322
80	289	3287
81	290	3252
82	291	3219
83	292	3188
84	292	3153
85	293	3122
86	294	3087
87	294	3056
88	295	3026
89	296	2996
90	297	2968
91	297	2940
92	299	2916
93	299	2889
94	301	2867
95	301	2842
96	302	2817
97	303	2793
98	304	2770
99	305	2747
100	305	2723
101	306	2696
102	307	2673
103	307	2651
104	308	2628
105	309	2606
106	309	2584
107	310	2563
108	311	2546
109	312	2527
110	313	2507
111	313	2488
112	314	2469
113	315	2452
114	316	2434
115	316	2414
116	318	2400
117	318	2382
118	319	2363
119	319	2345
120	320	2328
121	321	2310
122	321	2291
123	322	2275
124	322	2259
125	323	2245
126	324	2231
127	325	2215
128	325	2200
129	326	2186
130	327	2172
131	328	2158
132	329	2145
133	330	2134
134	331	2124
135	332	2113
136	333	2102
137	334	2089
138	335	2077
139	336	2067
140	337	2055
141	338	2043
142	338	2030
143	339	2018
144	340	2005
145	340	1993
146	341	1981
147	342	1968
148	343	1960
149	344	1949
150	344	1938
151	345	1927
152	346	1915
153	346	1904
154	347	1893
155	347	1882
156	348	1871
157	358	1908
158	358	1897
159	360	1891
160	361	1883
161	362	1877
162	364	1872
163	365	1865
164	367	1857
165	368	1850
166	370	1847
167	371	1840
168	372	1833
169	373	1825
170	375	1820
171	376	1814
172	378	1807
173	379	1800
174	380	1793
175	381	1786
176	382	1780
177	383	1773
178	385	1765
179	386	1758
180	386	1749
181	388	1745
182	389	1738
183	390	1732
184	391	1725
185	392	1718
186	393	1711
187	395	1707
188	396	1700
189	397	1693
190	398	1686
191	398	1679
192	399	1672
193	401	1666
194	402	1661
195	403	1654
196	404	1648
197	405	1641
198	406	1634
199	406	1627
200	408	1623
201	409	1617
202	410	1612
203	411	1606
204	412	1599
205	413	1594
206	414	1589
207	415	1583
208	416	1578
209	418	1573
210	419	1568
211	420	1564
212	422	1560
213	423	1554
214	424	1550
215	425	1544
216	426	1540
217	427	1534
218	428	1528
219	429	1521
220	429	1515
221	430	1508
222	431	1502
223	431	1495
224	432	1491
225	433	1484
226	434	1478
227	434	1472
228	435	1466
229	437	1465
230	439	1462
231	440	1456
232	440	1450
233	441	1444
234	441	1438
235	442	1432
236	443	1426
237	443	1420
238	444	1415
239	445	1410
240	446	1405
241	446	1399
242	447	1394
243	448	1388
244	448	1383
245	449	1378
246	450	1372
247	451	1367
248	453	1367
249	454	1362
250	454	1357
251	455	1351
252	456	1346
253	456	1341
254	457	1336
255	458	1333
256	459	1328
257	460	1324
258	461	1320
259	462	1315
260	462	1310
261	463	1305
262	464	1301
263	465	1296
264	465	1292
265	467	1290
266	468	1286
267	469	1282
268	470	1277
269	471	1274
270	472	1269
271	472	1265
272	473	1260
273	474	1256
274	474	1251
